Subject,number,title,crn,credits,capacity,availability,days,startTime,endTime,instructor
ACCT,647,FINANCIAL STMNT ANALYSIS,18998,3,0,-24,F,09:00 am,12:00 pm,Tim D. Torno (P)
ACCT,647,FINANCIAL STMNT ANALYSIS,21517,3,29,1,TR,02:20 pm,03:35 pm,Tim D. Torno (P)
ACCT,647,FINANCIAL STMNT ANALYSIS,22340,3,25,0,TR,03:55 pm,05:10 pm,Tim D. Torno (P)
ACCT,648,ACCT INFO SYSTEMS,10031,3,44,-4,TR,08:00 am,09:15 am,Christopher Wolfe (P)
ACCT,648,ACCT INFO SYSTEMS,10032,3,44,0,TR,09:35 am,10:50 am,Christopher Wolfe (P)
ACCT,648,ACCT INFO SYSTEMS,10033,3,44,-3,TR,12:45 pm,02:00 pm,Christopher Wolfe (P)
ACCT,650,ACCOUNTING ETHICS,27211,3,60,4,W,02:20 pm,04:50 pm,Michael Shaub (P)
ACCT,651,DEV OF ACCT THOUGHT,10034,3,28,-1,TR,02:20 pm,03:35 pm,Anwer Ahmed (P)
ACCT,651,DEV OF ACCT THOUGHT,10035,3,28,19,TR,03:55 pm,05:10 pm,Anwer Ahmed (P)
ACCT,651,DEV OF ACCT THOUGHT,10036,3,28,-2,MW,12:45 pm,02:00 pm,Edward Swanson (P)
ACCT,651,DEV OF ACCT THOUGHT,10037,3,28,-2,MW,02:20 pm,03:35 pm,Edward Swanson (P)
ACCT,651,DEV OF ACCT THOUGHT,10038,3,28,0,MW,03:55 pm,05:10 pm,Edward Swanson (P)
ACCT,665,RESEARCH METHOD I,10039,3,10,7,M,TBA,TBA,Dechun Wang (P)
ACCT,684,PROF INTERNSHIP: IN-ABSENTIA,15494,6-Jan,35,22,,TBA,TBA,Annie L. McGowan (P)
ACCT,689,SPTP: ACCT CON AND PROC II,28592,3,0,-14,MW,12:45 pm,02:00 pm,Tara N. Blasor (P)
ACCT,689,SPTP: ACCT FOR INCOME TAX,28597,3,40,12,MW,09:35 am,10:50 am,Constance Weaver (P)
ACCT,689,SPTP: ACCT FOR INCOME TAX,28598,3,50,0,MW,11:10 am,12:25 pm,Constance Weaver (P)
ACCT,689,SPTP: ACCT FOR INCOME TAX,28599,3,50,6,MW,12:45 pm,02:00 pm,Constance Weaver (P)
ACCT,691,RESEARCH,15121,23-Jan,14,8,,TBA,TBA,Michael Kinney (P)
ACCT,691,RESEARCH: IN-ABSENTIA,25961,23-Jan,14,14,,TBA,TBA,Michael Kinney (P)
ACCT,710,ACCT FOR MANAGERIAL DECISIONS,29133,2,48,48,MW,01:15 pm,03:15 pm,Annie L. McGowan (P)
ADDM,5220,ADVANCED DENTAL MATERIALS,23004,2,30,27,,TBA,TBA,David F. Murchison (P)
AEGD,5000,CLINICAL DENTISTRY,22942,0,20,11,,TBA,TBA,Amirali Zandinejad (P)
AEGD,5205,PRACTICE MANAGEMENT,22941,0-1.5,20,2,,TBA,TBA,Amirali Zandinejad (P)
AEGD,5219,TRTMT PLANNING CONFERENCE,22938,1.5,9,0,,TBA,TBA,Amirali Zandinejad (P)
AEGD,5220,CURRENT LITERATURE REVIEWS,22939,1.5,9,0,,TBA,TBA,Amirali Zandinejad (P)
AEGD,5221,CLINICAL PATHOLOGY,22940,1.5-2,9,0,,TBA,TBA,Amirali Zandinejad (P)
AERO,201,HNR-INTRO TO FLIGHT,10040,3,55,31,MWF,11:30 am,12:20 pm,Kristi J. Shryock (P)
AERO,201,HNR-INTRO TO FLIGHT,10040,3,55,31,T,09:35 am,10:50 am,Kristi J. Shryock
AERO,201,INTRO TO FLIGHT,10041,3,25,18,MWF,11:30 am,12:20 pm,Kristi J. Shryock (P)
AERO,201,INTRO TO FLIGHT,10041,3,25,18,T,09:35 am,10:50 am,Kristi J. Shryock
AERO,201,INTRO TO FLIGHT,24155,3,80,75,TR,05:30 pm,06:45 pm,Srinivas Vadali (P)
AERO,201,INTRO TO FLIGHT,24155,3,80,75,F,03:00 pm,03:50 pm,Srinivas Vadali
AERO,210,INTRO TO AERO MECHANICS,13149,3,60,-1,MWF,11:30 am,12:20 pm,Thomas Pollock (P)
AERO,210,INTRO TO AERO MECHANICS,13149,3,60,-1,R,02:20 pm,03:35 pm,Thomas Pollock
AERO,212,INTRO TO AEROTHERMODYNM,10042,3,66,47,MWF,04:10 pm,05:00 pm,Othon Rediniotis (P)
AERO,212,INTRO TO AEROTHERMODYNM,10042,3,66,47,W,03:00 pm,03:50 pm,Othon Rediniotis
AERO,212,INTRO TO AEROTHERMODYNM,23337,3,90,72,MWF,08:00 am,08:50 am,TBA
AERO,212,INTRO TO AEROTHERMODYNM,23337,3,90,72,T,08:00 am,09:15 am,TBA
AERO,214,HNR-INTRO AERO MECH OF MATLS,24716,3,10,7,M,04:10 pm,06:10 pm,Jean-Briac B. Le Graverend
AERO,214,HNR-INTRO AERO MECH OF MATLS,24716,3,10,7,TR,11:10 am,12:25 pm,Jean-Briac B. Le Graverend (P)
AERO,214,INTRO AERO MECH OF MATLS,13142,3,50,0,M,04:10 pm,06:10 pm,Jean-Briac B. Le Graverend
AERO,214,INTRO AERO MECH OF MATLS,13142,3,50,0,TR,11:10 am,12:25 pm,Jean-Briac B. Le Graverend (P)
AERO,220,INTRO AERO COMPUTATION,24156,4,30,0,MWF,10:20 am,11:10 am,Daniele Mortari (P)
AERO,220,INTRO AERO COMPUTATION,24156,4,30,0,TR,09:35 am,10:50 am,Daniele Mortari
AERO,220,INTRO AERO COMPUTATION,24157,4,30,1,MWF,10:20 am,11:10 am,Daniele Mortari (P)
AERO,220,INTRO AERO COMPUTATION,24157,4,30,1,TR,12:45 pm,02:00 pm,Daniele Mortari
AERO,301,HNR-THEORETICAL AERODYN,12971,3,18,5,MWF,03:00 pm,03:50 pm,Diego A. Donzis (P)
AERO,301,THEORETICAL AERODYN,10043,3,73,17,MWF,03:00 pm,03:50 pm,Diego A. Donzis (P)
AERO,301,THEORETICAL AERODYN,27116,3,56,15,TR,02:20 pm,03:35 pm,TBA
AERO,302,AERO ENGR LAB,13188,2,20,-1,T,12:45 pm,02:00 pm,Othon Rediniotis (P)
AERO,302,AERO ENGR LAB,13188,2,20,-1,R,12:45 pm,03:35 pm,Othon Rediniotis
AERO,302,AERO ENGR LAB,13190,2,20,16,T,12:45 pm,02:00 pm,Othon Rediniotis (P)
AERO,302,AERO ENGR LAB,13190,2,20,16,F,12:40 pm,03:30 pm,Othon Rediniotis
AERO,302,AERO ENGR LAB,23165,2,20,-1,T,12:45 pm,02:00 pm,Othon Rediniotis (P)
AERO,302,AERO ENGR LAB,23165,2,20,-1,T,04:10 pm,07:00 pm,Othon Rediniotis
AERO,302,AERO ENGR LAB,20025,2,20,4,W,04:10 pm,07:00 pm,Othon Rediniotis
AERO,302,AERO ENGR LAB,20025,2,20,4,R,12:45 pm,02:00 pm,Othon Rediniotis (P)
AERO,302,AERO ENGR LAB,27117,2,20,0,T,12:45 pm,03:35 pm,TBA
AERO,302,AERO ENGR LAB,27117,2,20,0,R,12:45 pm,02:00 pm,TBA
AERO,302,AERO ENGR LAB,27119,2,20,10,M,12:40 pm,03:30 pm,TBA
AERO,302,AERO ENGR LAB,27119,2,20,10,R,12:45 pm,02:00 pm,TBA
AERO,303,HNR-HIGH SPEED AERODYN,12972,3,6,4,TR,09:35 am,10:50 am,TBA
AERO,303,HIGH SPEED AERODYN,10044,3,54,3,TR,09:35 am,10:50 am,TBA
AERO,304,HNR-AERO STRUCTURAL ANALYS I,27120,3,2,-2,MWF,09:10 am,10:00 am,John Whitcomb (P)
AERO,304,HNR-AERO STRUCTURAL ANALYS I,27120,3,2,-2,M,06:00 pm,08:00 pm,John Whitcomb (P)
AERO,304,HNR-AERO STRUCTURAL ANALYS I,27120,3,2,-2,R,07:00 pm,09:00 pm,John Whitcomb (P)
AERO,304,HNR:AERO STRUCTURAL ANALYS I,29289,3,6,6,MWF,04:10 pm,05:00 pm,TBA
AERO,304,AERO STRUCTURAL ANALYS I,13146,3,40,-11,MWF,09:10 am,10:00 am,John Whitcomb (P)
AERO,304,AERO STRUCTURAL ANALYS I,13146,3,40,-11,M,06:00 pm,08:00 pm,John Whitcomb (P)
AERO,304,AERO STRUCTURAL ANALYS I,13146,3,40,-11,R,07:00 pm,09:00 pm,John Whitcomb (P)
AERO,304,AERO STRUCTURAL ANALYS I,27121,3,74,29,MWF,04:10 pm,05:00 pm,Ramesh Talreja (P)
AERO,306,AERO STRUCTURAL ANALY II,10045,3,60,21,MWF,10:20 am,11:10 am,John Whitcomb (P)
AERO,306,AERO STRUCTURAL ANALY II,10045,3,60,21,M,06:00 pm,08:00 pm,John Whitcomb (P)
AERO,306,AERO STRUCTURAL ANALY II,10045,3,60,21,R,07:00 pm,09:00 pm,John Whitcomb (P)
AERO,310,AEROSPACE DYNAMICS,10046,3,66,22,MWF,11:30 am,12:20 pm,Suman Chakravorty (P)
AERO,310,AEROSPACE DYNAMICS,27122,3,55,3,TR,11:10 am,12:25 pm,Suman Chakravorty (P)
AERO,321,DYN OF AERO VEHICLES,21289,3,60,1,MWF,12:40 pm,01:30 pm,TBA
AERO,351,AEROTHERMO PROPULSION,10047,3,66,12,TR,03:55 pm,05:10 pm,Paul Cizmas (P)
AERO,401,AEROSPACE VEHICLE DES I (Syllabus),10048,3,40,-7,MW,04:10 pm,05:25 pm,Wayne Lutz (P)
AERO,401,AEROSPACE VEHICLE DES I (Syllabus),10048,3,40,-7,TR,03:55 pm,05:10 pm,Wayne Lutz
AERO,401,AEROSPACE VEHICLE DES I,10049,3,40,28,MWF,10:20 am,11:10 am,Thomas Pollock (P)
AERO,401,AEROSPACE VEHICLE DES I,10049,3,40,28,MW,12:40 pm,01:30 pm,Thomas Pollock
AERO,402,AEROSPACE VEHICLE DES II,13617,2,40,10,MW,04:10 pm,05:25 pm,Harry Elmendorf (P)
AERO,402,AEROSPACE VEHICLE DES II,13617,2,40,10,TR,03:55 pm,05:10 pm,Harry Elmendorf (P)
AERO,402,AEROSPACE VEHICLE DES II,13150,2,40,24,MWF,12:40 pm,01:30 pm,David B. Kanipe (P)
AERO,402,AEROSPACE VEHICLE DES II,13150,2,40,24,MW,10:20 am,11:10 am,David B. Kanipe (P)
AERO,413,AERO MATERIALS SCIENCE,27125,3,80,10,TR,11:10 am,12:25 pm,James G. Boyd (P)
AERO,419,CHEM ROCKET PROPULSION,27128,3,44,6,TR,05:30 pm,06:45 pm,Adonios Karpetis (P)
AERO,422,ACT CONTR FOR AERO VEH,27129,3,56,26,MWF,11:30 am,12:20 pm,Srinivas Vadali (P)
AERO,423,HNR-SPACE TECHNOLOGY I,13366,3,4,0,TR,12:45 pm,02:00 pm,Gregory E. Chamitoff (P)
AERO,423,ORBITAL MECHANICS,10050,3,68,-6,TR,12:45 pm,02:00 pm,Gregory E. Chamitoff (P)
AERO,426,SPACE SYSTEM DESIGN,10051,3,40,-5,MWF,09:10 am,10:00 am,David Hyland (P)
AERO,430,NUMERICAL SIMULATION,10052,3,60,41,TR,09:35 am,10:50 am,Theofanis Strouboulis (P)
AERO,435,AEROTHERMOCHEMISTRY,10053,3,25,12,MWF,03:00 pm,03:50 pm,Rodney Bowersox (P)
AERO,452,HEAT TRANS VISC FLOWS,24159,3,56,28,TR,08:00 am,09:15 am,Helen Reed (P)
AERO,472,AIRFOIL AND WING DESIGN,24160,3,25,-21,MWF,01:50 pm,02:40 pm,Edward White (P)
AERO,485,DIRECTED STUDIES,26462,4-Jan,0,0,,TBA,TBA,Sharath Girimaji (P)
AERO,489,SPTP: COMP FLUID DYN AERO APPS,29275,3,35,35,MWF,08:00 am,08:50 am,Paul Cizmas (P)
AERO,489,SPTP:APP OF ENGR FRAC MECHANIC,28518,3,25,17,MWF,11:30 am,12:20 pm,Vikram Kinra (P)
AERO,489,SPTP: HELICOPTER AERODYNAMICS,28455,3,30,4,MWF,03:00 pm,03:50 pm,Benedict Moble (P)
