Room, startTime, endTime , days, capacity
CHEM 2121, 01:50 pm, 02:40 pm, W,19
CHEM 2121, 01:50 pm, 04:40 pm, F,19
CHEM 2121, 12:45 pm, 02:00 pm, TR,30
CHEM 2102, 04:00 pm, 04:50 pm, M,50
CHEM 2104, 04:00 pm, 04:50 pm, M,50
CHEM 2121, 04:00 pm, 04:50 pm, M,36
CHEM 2101, 12:40 pm, 01:30 pm, F,16
CHEM 2104, 04:00 pm, 04:50 pm, T,0
CHEM 2104, 04:00 pm, 04:50 pm, W,0
CHEM 2122, 03:55 pm, 05:10 pm, TR,0
CHEM 2104, 05:00 pm, 05:50 pm, MTW,90
CHEM 2104, 02:15 pm, 03:30 pm, T,90
CHEM 2104, 02:15 pm, 03:30 pm, W,90
CHEM 255, 04:00 pm, 05:00 pm, T,60
CHEM 2102, 04:00 pm, 05:00 pm, W,40
CHEM 2104, 04:00 pm, 05:00 pm, R,20
CHEN 108, 09:10 am, 10:00 am, MW,20
CHEN 108, 05:45 pm, 07:15 pm, W,20
CHEN 108, 07:15 pm, 09:15 pm, T,20
CHEN 108, 09:10 am, 10:00 am, MW,45
CHEN 108, 05:45 pm, 07:15 pm, W,45
CHEN 108, 07:15 pm, 09:15 pm, T,45
CHEN 106, 08:00 am, 08:50 am, MW,74
CHEN 106, 05:45 pm, 07:15 pm, M,74
CHEN 106, 07:15 pm, 09:15 pm, T,74
CHEN 106, 10:20 am, 11:10 am, WF,75
CHEN 106, 05:45 pm, 07:15 pm, W,75
CHEN 106, 07:15 pm, 09:15 pm, T,75
CHEN 112, 02:20 pm, 03:35 pm, TR,47
CHEN 106, 04:10 pm, 05:25 pm, MW,20
CHEN 106, 04:10 pm, 05:25 pm, MW,70
CHEN 106, 07:15 pm, 09:15 pm, R,70
CHEN 106, 11:10 am, 12:25 pm, TR,90
CHEN 106, 07:15 pm, 09:15 pm, R,90
CHEN 108, 12:45 pm, 02:00 pm, TR,66
CHEN 108, 07:15 pm, 09:15 pm, R,66
CHEN 106, 09:35 am, 10:50 am, TR,90
CHEN 108, 02:20 pm, 03:35 pm, TR,0
HECC 204, 01:50 pm, 02:40 pm, MWF,14
HECC 204, 01:50 pm, 02:40 pm, MWF,82
HECC 204, 07:30 pm, 09:30 pm, M,82
HECC 203, 08:00 am, 09:15 am, TR,90
HECC 203, 07:15 pm, 09:15 pm, M,90
CHEN 112, 08:00 am, 09:15 am, TR,47
HELD 105, 08:00 am, 08:50 am, MWF,90
HELD 105, 07:15 pm, 09:15 pm, R,90
RICH 101, 05:45 pm, 07:00 pm, MW,90
RICH 101, 07:15 pm, 09:15 pm, R,90
CHEN 112, 11:10 am, 12:25 pm, TR,47
SCTS 215, 10:20 am, 11:10 am, MW,20
SCTS 215, 10:20 am, 12:10 pm, F,20
CHEN 108, 09:35 am, 10:50 am, TR,66
CHEN 108, 07:15 pm, 09:15 pm, M,66
CHEN 108, 10:20 am, 11:10 am, MWF,66
CHEN 106, 11:30 am, 12:20 pm, MWF,90
CHEN 106, 04:00 pm, 07:00 pm, W,90
CHEN 106, 07:15 pm, 09:15 pm, W,90
CHEN 106, 02:20 pm, 03:35 pm, TR,66
CHEN 106, 03:55 pm, 05:10 pm, TR,66
CHEN 104, 12:45 pm, 02:00 pm, TR,40
CHEN 112, 01:50 pm, 02:40 pm, MWF,26
CHEN 106, 12:40 pm, 01:30 pm, MWF,27
CHEN 106, 07:15 pm, 09:15 pm, W,27
CHEN 106, 01:50 pm, 02:40 pm, MWF,90
CHEN 106, 09:10 am, 10:00 am, MWF,90
CHEN 106, 07:15 pm, 09:00 pm, R,90
CHEN 106, 12:45 pm, 02:00 pm, TR,85
CHEN 112, 12:40 pm, 01:30 pm, F,40
CHEN 112, 12:45 pm, 02:00 pm, TR,15
CHEN 112, 10:20 am, 11:10 am, M,20
CHEN 112, 10:20 am, 11:10 am, W,20
CHEN 112, 10:20 am, 11:10 am, F,20
CHEN 112, 12:40 pm, 01:30 pm, M,20
CHEN 112, 12:40 pm, 01:30 pm, W,0
CHEN 112, 04:10 pm, 05:20 pm, WF,15
CHEN 111, 02:00 pm, 05:00 pm, F,15
CHEN 108, 03:55 pm, 05:10 pm, M,65
CHEN 106, 05:45 pm, 07:00 pm, TR,70
CHEN 108, 12:40 pm, 01:30 pm, MWF,66
CHEN 112, 01:50 pm, 02:40 pm, MWF,5
CHEN 112, 12:45 pm, 02:00 pm, TR,10
CHEN 106, 12:40 pm, 01:30 pm, MWF,20
CHEN 106, 03:00 pm, 04:00 pm, W,90
CHEN 112, 04:10 pm, 05:20 pm, WF,25
CHEN 112, 04:00 pm, 06:40 pm, R,25
CHEN 111, 02:00 pm, 05:00 pm, F,20
CHEN 112, 03:55 pm, 05:10 pm, T,46
ACAD 227, 12:40 pm, 01:30 pm, MTWRF,20
ACAD 227, 01:50 pm, 02:40 pm, MTWRF,20
LAAH 264, 01:50 pm, 02:40 pm, MWF,20
LAAH 264, 03:00 pm, 03:50 pm, MWF,20
LAAH 264, 10:20 am, 11:10 am, MWF,25
PETR 106, 08:00 am, 08:50 am, M,40
PETR 106, 08:00 am, 09:15 am, TR,40
HRBB 115, 09:10 am, 10:00 am, MTWR,30
HRBB 115, 10:20 am, 11:10 am, MTWR,30
HRBB 115, 08:00 am, 08:50 am, MTWR,30
LAAH 264, 12:45 pm, 02:00 pm, TR,25
PETR 106, 09:35 am, 10:50 am, TR,30
LAAH 264, 04:10 pm, 05:25 pm, MW,25
HECC 209, 11:10 am, 12:25 pm, TR,104
LAAH 264, 11:10 am, 12:25 pm, TR,15
ACAD 123, 03:55 pm, 05:10 pm, TR,15
ACAD 130, 09:35 am, 10:50 am, TR,42
BLTN 018, 10:20 am, 11:10 am, M,0
BLTN 018, 10:20 am, 11:10 am, WF,0
BLTN 018, 09:10 am, 10:00 am, M,0
BLOC 135, 09:10 am, 10:00 am, M,0
BLOC 135, 10:20 am, 11:10 am, WF,0
BLOC 135, 10:20 am, 11:10 am, M,0
BLOC 135, 11:30 am, 12:20 pm, M,0
BLTN 018, 11:30 am, 12:20 pm, M,0
BLTN 018, 11:10 am, 12:25 pm, TR,20
HECC 105, 10:20 am, 11:10 am, M,23
HECC 105, 09:10 am, 10:00 am, WF,23
HECC 105, 10:20 am, 11:10 am, WF,23
HECC 105, 11:30 am, 12:20 pm, WF,23
BLOC 134, 08:00 am, 08:50 am, MWF,23
BLOC 135, 08:00 am, 08:50 am, MWF,23
BLTN 006, 08:00 am, 08:50 am, MWF,23
BLTN 019, 08:00 am, 08:50 am, MWF,23
BLOC 134, 11:30 am, 12:20 pm, MWF,23
BLTN 018, 08:00 am, 08:50 am, MWF,23
BLOC 134, 12:40 pm, 01:30 pm, MWF,23
BLOC 135, 12:40 pm, 01:30 pm, MWF,23
HELD 118, 12:40 pm, 01:30 pm, MWF,23
BLTN 006, 01:50 pm, 02:40 pm, MWF,23
BLOC 134, 03:00 pm, 03:50 pm, MWF,23
BLOC 135, 03:00 pm, 03:50 pm, MWF,23
BLOC 134, 04:10 pm, 05:25 pm, MW,23
BLOC 134, 11:10 am, 12:25 pm, TR,23
BLOC 134, 12:45 pm, 02:00 pm, TR,23
BLOC 134, 03:55 pm, 05:10 pm, TR,23
BLTN 018, 03:00 pm, 03:50 pm, MWF,23
BLTN 003, 05:30 pm, 06:45 pm, TR,23
BLOC 134, 10:20 am, 11:10 am, MWF,23
BLTN 006, 03:00 pm, 03:50 pm, MWF,0
BLOC 135, 07:05 pm, 08:20 pm, TR,0
BLOC 135, 05:30 pm, 06:45 pm, TR,0
BLOC 135, 07:20 pm, 08:35 pm, MW,0
BLOC 135, 05:45 pm, 07:00 pm, MW,0
BLOC 134, 07:05 pm, 08:20 pm, TR,0
BLOC 134, 05:45 pm, 07:00 pm, MW,0
BLOC 134, 07:20 pm, 08:35 pm, MW,0
BLOC 134, 09:10 am, 10:00 am, MWF,25
BLOC 135, 08:00 am, 09:15 am, TR,25
BLOC 134, 09:35 am, 10:50 am, TR,25
BLOC 135, 09:35 am, 10:50 am, TR,23
BLTN 018, 01:50 pm, 02:40 pm, MWF,23
BLTN 006, 12:45 pm, 02:00 pm, TR,23
BLOC 134, 02:20 pm, 03:35 pm, TR,20
BLTN 003, 04:10 pm, 05:25 pm, MW,26
BLTN 003, 08:00 am, 09:15 am, TR,26
BLTN 003, 02:20 pm, 03:35 pm, TR,26
BLTN 003, 12:40 pm, 01:30 pm, MWF,26
BLTN 003, 08:00 am, 08:50 am, MWF,25
BLTN 003, 09:10 am, 10:00 am, MWF,25
BLTN 003, 11:30 am, 12:20 pm, MWF,25
BLTN 019, 09:10 am, 10:00 am, MWF,26
BLTN 019, 11:30 am, 12:20 pm, MWF,26
BLTN 019, 12:40 pm, 01:30 pm, MWF,26
BLTN 019, 01:50 pm, 02:40 pm, MWF,30
BLTN 006, 11:30 am, 12:20 pm, MWF,25
BLOC 135, 11:10 am, 12:25 pm, TR,20
BLTN 003, 12:45 pm, 02:00 pm, TR,22
BLOC 135, 01:50 pm, 02:40 pm, MWF,24
BLOC 134, 08:00 am, 09:15 am, TR,24
BLTN 006, 08:00 am, 09:15 am, TR,24
BLTN 006, 09:35 am, 10:50 am, TR,24
BLOC 135, 12:45 pm, 02:00 pm, TR,24
BLTN 006, 04:10 pm, 05:25 pm, MW,0
BLTN 019, 03:55 pm, 05:10 pm, TR,10
CHEM 100, 09:35 am, 10:50 am, TR,240
HECC 108, 08:00 am, 09:15 am, TR,20
HECC 108, 08:00 am, 09:15 am, TR,200
HECC 209, 12:40 pm, 01:30 pm, MWF,124
HECC 108, 04:10 pm, 05:25 pm, MW,20
HECC 108, 04:10 pm, 05:25 pm, MW,200
BLTN 003, 01:50 pm, 02:40 pm, MWF,40
HECC 108, 03:55 pm, 05:10 pm, TR,20
HECC 108, 03:55 pm, 05:10 pm, TR,220
HECC 105, 04:10 pm, 05:25 pm, MW,145
BLTN 024, 11:30 am, 12:20 pm, MWF,20
BLTN 019, 10:20 am, 11:10 am, MWF,30
HECC 105, 09:10 am, 10:00 am, MWF,10
HECC 105, 09:10 am, 10:00 am, MWF,135
HECC 105, 12:40 pm, 01:30 pm, MWF,145
HECC 105, 12:45 pm, 02:00 pm, TR,145
BLTN 003, 03:00 pm, 03:50 pm, MWF,40
BLTN 003, 09:35 am, 10:50 am, TR,30
BLTN 019, 04:10 pm, 05:25 pm, MW,30
PSYC 108, 04:10 pm, 05:25 pm, MW,15
CHEN 102, 10:20 am, 11:10 am, MWF,60
PSYC 108, 04:10 pm, 05:25 pm, MW,100
HECC 105, 08:00 am, 09:15 am, TR,145
BLTN 003, 03:55 pm, 05:10 pm, TR,40
CHEN 102, 09:10 am, 10:00 am, MWF,60
BLTN 003, 11:10 am, 12:25 pm, TR,42
HECC 209, 03:55 pm, 05:10 pm, TR,10
HECC 209, 03:55 pm, 05:10 pm, TR,124
HECC 105, 01:50 pm, 02:40 pm, MWF,20
HECC 105, 01:50 pm, 02:40 pm, MWF,125
CHEN 102, 03:55 pm, 05:10 pm, TR,60
HECC 105, 08:00 am, 08:50 am, MWF,20
HECC 105, 08:00 am, 08:50 am, MWF,125
BLOC 135, 02:20 pm, 03:35 pm, TR,24
BLTN 006, 12:40 pm, 01:30 pm, MWF,19
BLTN 006, 11:10 am, 12:25 pm, TR,19
BLOC 134, 05:30 pm, 06:45 pm, TR,19
BLTN 006, 10:20 am, 11:10 am, MWF,19
BLTN 018, 03:55 pm, 05:10 pm, TR,19
BLTN 018, 03:55 pm, 05:10 pm, TR,5
BLTN 018, 04:10 pm, 05:25 pm, MW,21
BLTN 018, 02:20 pm, 03:35 pm, TR,24
BLOC 134, 01:50 pm, 02:40 pm, MWF,24
BLTN 018, 12:40 pm, 01:30 pm, MWF,20
BLOC 135, 03:55 pm, 05:10 pm, TR,24
BLTN 018, 09:35 am, 10:50 am, TR,24
BLTN 006, 09:10 am, 10:00 am, MWF,24
BLTN 018, 05:45 pm, 07:00 pm, MW,21
BLTN 006, 03:55 pm, 05:10 pm, TR,19
BLTN 006, 03:55 pm, 05:10 pm, TR,5
BLTN 018, 12:45 pm, 02:00 pm, TR,19
BLTN 006, 02:20 pm, 03:35 pm, TR,24
BLOC 135, 04:10 pm, 05:25 pm, MW,24
BLTN 018, 08:00 am, 09:15 am, TR,19
BLTN 003, 10:20 am, 11:10 am, MWF,19
BLTN 018, 06:00 pm, 09:00 pm, R,7
BLTN 006, 06:00 pm, 09:00 pm, M,10
BLTN 102B, 11:10 am, 12:25 pm, TR,10
BLTN 003, 06:00 pm, 09:00 pm, M,10
BLTN 006, 06:00 pm, 09:00 pm, W,7
LAAH 535, 12:40 pm, 03:40 pm, F,2
BLTN 003, 06:00 pm, 09:00 pm, W,10
BLTN 006, 06:00 pm, 09:00 pm, T,10
BLTN 208, 01:50 pm, 02:40 pm, W,15
BLTN 208, 03:55 pm, 05:10 pm, TR,10
FRAN 112, 03:00 pm, 03:50 pm, MW,36
FRAN 112, 05:30 pm, 06:20 pm, R,36
FRAN 105, 09:10 am, 10:00 am, MW,20
FRAN 105, 05:30 pm, 06:20 pm, R,20
FRAN 105, 01:50 pm, 02:40 pm, MW,20
FRAN 105, 11:30 am, 12:20 pm, MW,20
FRAN 105, 10:20 am, 11:10 am, MW,20
FRAN 105, 12:40 pm, 01:30 pm, MW,0
FRAN 105, 05:30 pm, 06:20 pm, R,0
FRAN 105, 08:00 am, 08:50 am, MW,20
FRAN 103, 09:10 am, 10:00 am, MWF,0
FRAN 103, 08:00 am, 09:15 am, TR,0
FRAN 103, 05:30 pm, 06:20 pm, R,0
FRAN 204, 11:30 am, 12:20 pm, MWF,0
FRAN 204, 08:00 am, 09:15 am, TR,0
FRAN 204, 05:30 pm, 06:20 pm, R,0
FRAN 105, 03:00 pm, 03:50 pm, MWF,0
FRAN 105, 11:10 am, 12:25 pm, TR,0
ARCB 101, 11:30 am, 12:20 pm, MWF,120
FRAN 102, 01:50 pm, 02:40 pm, MWF,0
FRAN 102, 02:20 pm, 03:35 pm, TR,0
ARCC 105, 12:40 pm, 01:30 pm, MWF,180
ARCC 105, 08:00 am, 08:50 am, TR,35
ARCC 105, 09:35 am, 10:50 am, TR,35
ARCC 105, 11:10 am, 12:25 pm, TR,35
ARCC 105, 02:20 pm, 03:35 pm, TR,35
FRAN 102, 08:00 am, 09:07 am, MTWR,0
FRAN 102, 09:10 am, 10:50 am, MWF,0
FRAN 102, 05:45 pm, 06:35 pm, M,30
ARCB 101, 05:45 pm, 07:25 pm, W,0
FRAN 102, 04:10 pm, 05:25 pm, MW,85
FRAN 102, 12:45 pm, 02:00 pm, TR,85
FRAN 102, 03:00 pm, 03:50 pm, MWF,85
FRAN 102, 12:40 pm, 01:30 pm, MWF,85
ARCC 105, 11:30 am, 12:20 pm, MWF,175
ARCC 207, 02:20 pm, 03:35 pm, TR,50
FRAN 201, 09:35 am, 10:50 am, TR,28
FRAN 201, 07:00 pm, 08:30 pm, R,28
FRAN 112, 09:35 am, 10:50 am, TR,28
FRAN 112, 07:00 pm, 08:30 pm, R,28
FRAN 112, 11:10 am, 12:25 pm, TR,30
FRAN 112, 07:00 pm, 08:30 pm, R,30
FRAN 112, 12:45 pm, 02:00 pm, TR,30
FRAN 201, 02:20 pm, 03:35 pm, TR,28
FRAN 112, 03:55 pm, 05:10 pm, TR,30
FRAN 201, 11:10 am, 12:25 pm, TR,0
FRAN 201, 07:00 pm, 08:30 pm, R,0
FRAN 112, 10:20 am, 11:10 am, MW,30
FRAN 112, 11:30 am, 12:20 pm, MW,28
FRAN 112, 10:20 am, 12:00 pm, F,0
FRAN 112, 11:30 am, 12:20 pm, MW,30
FRAN 112, 05:30 pm, 07:10 pm, R,30
ARCB 101, 08:00 am, 08:50 am, TR,34
ARCB 101, 09:35 am, 10:50 am, TR,34
ARCB 101, 11:10 am, 12:25 pm, TR,34
ARCB 101, 02:20 pm, 03:35 pm, TR,34
ARCB 101, 08:00 am, 08:50 am, TR,36
ARCB 101, 03:55 pm, 05:10 pm, TR,36
ARCB 101, 08:00 am, 08:50 am, TR,0
ARCB 101, 05:30 pm, 06:45 pm, TR,0
ARCB 101, 12:45 pm, 02:00 pm, TR,36
ARCB 101, 05:45 pm, 07:25 pm, W,180
ARCC 105, 01:50 pm, 02:40 pm, MWF,180
FRAN 105, 12:45 pm, 02:00 pm, TR,24
FRAN 105, 05:30 pm, 06:20 pm, T,24
FRAN 105, 05:30 pm, 09:00 pm, T,24
FRAN 105, 03:55 pm, 05:10 pm, TR,24
FRAN 105, 09:35 am, 10:50 am, TR,24
FRAN 105, 02:20 pm, 03:35 pm, TR,24
FRAN 112, 09:10 am, 10:00 am, MWF,34
FRAN 105, 05:30 pm, 08:00 pm, R,32
FRAN 112, 04:10 pm, 05:25 pm, MW,24
FRAN 201, 03:55 pm, 05:10 pm, TR,24
FRAN 201, 08:00 am, 08:50 am, MW,0
FRAN 201, 05:30 pm, 06:20 pm, T,0
FRAN 201, 09:10 am, 10:00 am, MW,25
FRAN 201, 05:30 pm, 06:20 pm, T,25
FRAN 201, 10:20 am, 11:10 am, MW,25
FRAN 201, 11:30 am, 12:20 pm, MW,25
FRAN 201, 12:40 pm, 01:30 pm, MW,25
FRAN 201, 01:50 pm, 02:40 pm, MW,23
FRAN 201, 05:30 pm, 06:20 pm, T,23
FRAN 201, 03:00 pm, 03:50 pm, MW,25
FRAN 201, 04:10 pm, 05:00 pm, MW,25
FRAN 112, 02:20 pm, 03:35 pm, TR,36
FRAN 102, 09:35 am, 10:50 am, TR,116
ARCC 105, 09:10 am, 10:00 am, MW,42
ARCC 105, 08:00 am, 09:15 am, TR,42
ARCC 105, 12:45 pm, 02:00 pm, TR,42
ARCC 105, 03:55 pm, 05:10 pm, TR,42
ARCC 105, 05:30 pm, 06:45 pm, TR,42
FRAN 204, 04:10 pm, 05:25 pm, MW,42
FRAN 204, 09:10 am, 10:00 am, MWF,42
FRAN 204, 10:20 am, 11:10 am, MWF,42
FRAN 113, 03:55 pm, 05:10 pm, TR,20
ARCC 307, 12:40 pm, 01:30 pm, MWF,25
FRAN 112, 01:50 pm, 02:40 pm, MWF,15
FRAN 201, 08:00 am, 09:15 am, TR,0
FRAN 103, 11:30 am, 12:20 pm, MWF,15
ARCA 323, 09:10 am, 10:00 am, MWF,15
FRAN 105, 04:10 pm, 05:00 pm, M,15
FRAN 112, 08:00 am, 08:50 am, MWF,15
EDCT 701G, 04:00 pm, 07:00 pm, T,15
EDCT 714, 05:15 pm, 07:00 pm, M,12
EDCT 714, 07:00 pm, 10:00 pm, M,12
EDCT 701G, 05:30 pm, 08:30 pm, R,15
EDCT 714, 05:30 pm, 08:30 pm, T,10
WEB, 06:00 pm, 09:00 pm, WEB,40
EDCT 725, 05:30 pm, 10:30 pm, M,18
EDCT 714, 12:00 pm, 03:00 pm, M,10
EDCT 222G, 09:00 am, 12:00 pm, T,10
HRBB 124, 08:00 am, 09:15 am, TR,40
HRBB 124, 09:35 am, 10:50 am, TR,40
HRBB 124, 11:10 am, 12:00 pm, TR,40
HRBB 113, 08:00 am, 08:50 am, MWF,20
HRBB 113, 09:10 am, 10:00 am, MW,20
HRBB 113, 08:00 am, 08:50 am, MWF,35
HRBB 113, 11:30 am, 12:20 pm, MW,35
HRBB 124, 11:30 am, 12:20 pm, MWF,45
HRBB 124, 12:40 pm, 01:30 pm, MW,45
HRBB 124, 01:50 pm, 02:40 pm, MW,45
HRBB 113, 01:50 pm, 02:40 pm, MWF,30
HRBB 113, 03:00 pm, 03:50 pm, MW,30
HRBB 113, 01:50 pm, 02:40 pm, MWF,25
HRBB 113, 12:40 pm, 01:30 pm, MW,25
CVE 203, 09:10 am, 10:00 am, MWF,0
CVE 203, 11:30 am, 12:20 pm, MW,0
RDMC 111A, 10:20 am, 11:10 am, MW,0
EABA 108, 11:30 am, 12:20 pm, MWF,0
EABA 108, 03:55 pm, 04:45 pm, TR,0
EABA 108, 07:05 pm, 07:55 pm, TR,0
ETB 2005, 12:45 pm, 02:00 pm, TR,0
ETB 2005, 03:55 pm, 04:45 pm, TR,0
THOM 122, 08:00 am, 08:50 am, MWF,0
THOM 122, 10:20 am, 11:10 am, MW,0
THOM 122, 01:50 pm, 02:40 pm, MW,0
CVE 203, 08:00 am, 08:50 am, MW,0
ETB 2005, 11:10 am, 12:25 pm, TR,25
ETB 2005, 12:45 pm, 01:35 pm, TR,25
RDMC 111A, 09:35 am, 10:25 am, TR,20
RDMC 111A, 11:10 am, 12:25 pm, TR,20
ETB 2005, 02:20 pm, 03:10 pm, TR,25
RDMC 111A, 12:40 pm, 01:30 pm, MW,20
HRBB 124, 10:20 am, 11:10 am, MWF,25
HRBB 124, 09:10 am, 10:00 am, MW,25
HRBB 124, 01:50 pm, 02:40 pm, MW,25
HRBB 124, 10:20 am, 11:10 am, MWF,20
HRBB 124, 02:20 pm, 03:10 pm, TR,20
HRBB 124, 03:55 pm, 04:45 pm, TR,20
HRBB 124, 01:50 pm, 02:40 pm, MWF,25
HRBB 124, 03:00 pm, 03:50 pm, MW,25
HRBB 124, 12:40 pm, 01:30 pm, MW,25
HRBB 124, 01:50 pm, 02:40 pm, MWF,20
HRBB 124, 04:40 pm, 05:00 pm, MW,20
HRBB 124, 11:10 am, 12:00 pm, TR,20
ETB 2005, 08:00 am, 08:50 am, MW,90
ETB 2005, 08:51 am, 10:00 am, MW,90
ETB 2005, 09:10 am, 10:00 am, F,90
ETB 2005, 10:20 am, 11:29 am, MW,90
ETB 2005, 11:30 am, 12:20 pm, MW,90
ETB 2005, 10:20 am, 11:10 am, F,90
HRBB 113, 09:10 am, 10:00 am, MWF,30
HRBB 113, 08:00 am, 08:50 am, MW,30
HRBB 113, 09:10 am, 10:00 am, MWF,25
HRBB 113, 11:30 am, 12:20 pm, MW,25
HRBB 124, 03:55 pm, 05:10 pm, TR,120
HRBB 124, 08:00 am, 08:50 am, MWF,45
HRBB 124, 09:10 am, 10:00 am, MW,45
HRBB 124, 03:00 pm, 03:50 pm, MW,45
HRBB 124, 08:00 am, 08:50 am, MWF,0
HRBB 124, 12:45 pm, 01:35 pm, TR,0
HRBB 124, 09:10 am, 10:00 am, MWF,45
HRBB 124, 08:00 am, 08:50 am, MW,45
HRBB 124, 10:20 am, 11:10 am, MW,45
HRBB 124, 09:10 am, 10:00 am, MWF,0
HRBB 124, 02:20 pm, 03:10 pm, TR,0
BLOC 149, 03:00 pm, 03:50 pm, MWF,36
BLOC 149, 04:10 pm, 05:00 pm, MW,36
BLOC 149, 03:00 pm, 03:50 pm, MWF,19
BLOC 149, 01:50 pm, 02:40 pm, MW,19
ETB 2005, 08:00 am, 09:15 am, TR,24
ETB 2005, 05:30 pm, 06:20 pm, TR,24
ETB 2005, 08:00 am, 09:15 am, TR,35
ETB 2005, 03:55 pm, 04:45 pm, TR,35
RDMC 111H, 08:00 am, 08:50 am, MW,22
RDMC 111H, 08:00 am, 09:15 am, TR,22
ETB 2005, 09:35 am, 10:25 am, TR,35
RDMC 111H, 08:25 am, 09:15 am, TR,27
RDMC 111H, 09:35 am, 10:50 am, TR,27
ETB 2005, 09:35 am, 10:50 am, TR,27
ETB 2005, 11:10 am, 12:00 pm, TR,27
RDMC 111H, 09:10 am, 10:00 am, MW,27
HRBB 113, 04:10 pm, 05:25 pm, MW,35
HRBB 113, 05:45 pm, 06:35 pm, MW,35
RDMC 111A, 03:00 pm, 03:50 pm, MW,20
RDMC 111A, 04:10 pm, 05:25 pm, MW,20
AGLS 109, 12:45 pm, 02:00 pm, TR,21
ETB 2005, 01:50 pm, 03:05 pm, MW,90
ETB 2005, 12:45 pm, 02:00 pm, TR,90
ETB 2005, 03:55 pm, 05:10 pm, TR,90
ETB 1035, 11:30 am, 12:20 pm, MWF,21
ETB 1035, 10:20 am, 11:10 am, MW,21
HRBB 124, 03:00 pm, 03:50 pm, MWF,30
HRBB 124, 04:10 pm, 05:50 pm, M,30
HRBB 124, 04:10 pm, 05:50 pm, W,30
HRBB 124, 12:40 pm, 02:20 pm, F,30
ETB 2005, 02:20 pm, 03:35 pm, TR,30
ETB 2005, 03:55 pm, 05:35 pm, T,30
ETB 2005, 03:55 pm, 05:35 pm, R,30
ETB 2005, 02:20 pm, 03:35 pm, TR,27
ETB 2005, 10:20 am, 12:00 pm, F,27
HRBB 124, 11:10 am, 12:25 pm, TR,30
HRBB 124, 01:55 pm, 03:35 pm, T,30
HRBB 124, 01:55 pm, 03:35 pm, R,30
HRBB 124, 03:00 pm, 04:40 pm, F,30
HRBB 113, 09:35 am, 10:50 am, TR,28
HRBB 113, 11:10 am, 12:50 pm, T,28
HRBB 113, 09:35 am, 10:50 am, TR,25
HRBB 113, 11:10 am, 12:50 pm, R,25
HRBB 124, 12:45 pm, 02:00 pm, TR,70
ETB 2005, 03:35 pm, 04:50 pm, MW,70
RDMC 111C, 08:25 am, 09:15 am, TR,30
RDMC 111C, 09:35 am, 10:50 am, TR,30
RDMC 111C, 11:30 am, 12:20 pm, MW,30
RDMC 111C, 10:20 am, 11:10 am, MW,30
HRBB 113, 08:00 am, 09:15 am, TR,0
HRBB 113, 08:00 am, 09:15 am, TR,55
CHEM 2122, 11:30 am, 12:20 pm, MWF,25
CHEN 108, 03:55 pm, 05:10 pm, TR,56
HRBB 113, 11:30 am, 12:20 pm, MWF,50
HRBB 113, 11:10 am, 12:25 pm, TR,55
ETB 1035, 03:55 pm, 05:10 pm, TR,6
ETB 1035, 03:55 pm, 05:10 pm, TR,21
HELD 118, 10:20 am, 11:10 am, MWF,20
HECC 200, 11:30 am, 12:20 pm, MWF,0
HECC 200, 11:30 am, 12:20 pm, MWF,55
HRBB 126, 03:00 pm, 03:50 pm, MWF,15
THOM 107A, 03:55 pm, 05:10 pm, TR,55
RDMC 111J, 01:50 pm, 02:40 pm, F,0
RDMC 111J, 02:41 pm, 05:10 pm, F,0
CVE 203, 10:20 am, 11:10 am, MWF,18
CVE 203, 11:30 am, 01:10 pm, M,18
CVE 203, 12:40 pm, 02:20 pm, W,18
CVE 203, 10:20 am, 11:10 am, MWF,0
CVE 203, 12:40 pm, 02:20 pm, F,0
THOM 107A, 04:10 pm, 05:00 pm, MW,55
CHEM 2102, 05:45 pm, 07:00 pm, MW,50
HRBB 124, 02:20 pm, 03:35 pm, TR,120
HRBB 302, 01:00 pm, 01:25 pm, MW,20
HRBB 302, 01:30 pm, 04:00 pm, MW,20
HRBB 126, 08:00 am, 08:25 am, TR,20
HRBB 126, 08:30 am, 11:00 am, TR,20
HRBB 218, 01:20 pm, 03:50 pm, MW,0
HRBB 218, 12:45 pm, 01:10 pm, TR,0
HRBB 113, 03:55 pm, 05:10 pm, TR,35
THOM 107A, 09:10 am, 10:00 am, MW,0
THOM 107A, 11:30 am, 02:20 pm, W,0
HRBB 113, 05:30 pm, 06:45 pm, TR,55
ETB 1020, 09:35 am, 10:50 am, TR,75
HRBB 113, 02:20 pm, 03:35 pm, TR,55
HRBB 126, 03:55 pm, 05:10 pm, TR,25
MILS 213, 08:00 am, 09:15 am, TR,0
CSA 303, 11:30 am, 12:20 pm, MWF,25
ETB 1020, 03:55 pm, 05:10 pm, TR,75
HRBB 113, 10:20 am, 11:10 am, MWF,55
HRBB 113, 04:10 pm, 05:25 pm, MW,55
ETB 1035, 09:35 am, 10:50 am, TR,17
ARCC 205, 03:55 pm, 05:10 pm, TR,28
HRBB 126, 03:00 pm, 03:50 pm, MWF,7
HRBB 126, 01:50 pm, 02:40 pm, MWF,25
ARCC 414, 08:00 am, 09:15 am, MW,15
ARCC 414, 09:16 am, 10:05 am, MW,15
ARCC 307, 12:45 pm, 01:35 pm, TR,15
ARCC 307, 01:36 pm, 02:25 pm, TR,15
HRBB 113, 12:45 pm, 02:00 pm, TR,55
