Room, startTime, endTime , days, capacity
ETB 1020, 09:35 am, 10:50 am, T,55
ETB 1020, 11:30 am, 12:20 pm, MWF,25
ETB 1020, 09:35 am, 10:50 am, T,25
ETB 1020, 05:30 pm, 06:45 pm, TR,80
ETB 1020, 03:00 pm, 03:50 pm, F,80
RDMC 202, 11:30 am, 12:20 pm, MWF,60
RDMC 202, 02:20 pm, 03:35 pm, R,60
CHEN 104, 04:10 pm, 05:00 pm, MWF,66
CHEN 104, 03:00 pm, 03:50 pm, W,66
HELD 113, 08:00 am, 08:50 am, MWF,90
HELD 113, 08:00 am, 09:15 am, T,90
RDMC 202, 04:10 pm, 06:10 pm, M,10
RDMC 202, 11:10 am, 12:25 pm, TR,10
RDMC 202, 04:10 pm, 06:10 pm, M,50
RDMC 202, 11:10 am, 12:25 pm, TR,50
HRBB 131, 10:20 am, 11:10 am, MWF,30
HRBB 131, 09:35 am, 10:50 am, TR,30
HRBB 131, 12:45 pm, 02:00 pm, TR,30
HELD 107, 03:00 pm, 03:50 pm, MWF,18
HELD 107, 03:00 pm, 03:50 pm, MWF,73
HRBB 131, 02:20 pm, 03:35 pm, TR,56
RDMC 202, 12:45 pm, 02:00 pm, T,20
RDMC 202, 12:45 pm, 03:35 pm, R,20
RDMC 202, 09:35 am, 10:50 am, TR,6
RDMC 202, 09:35 am, 10:50 am, TR,54
RDMC 202, 09:10 am, 10:00 am, MWF,2
RDMC 202, 06:00 pm, 08:00 pm, M,2
RDMC 202, 07:00 pm, 09:00 pm, R,2
ETB 1020, 04:10 pm, 05:00 pm, MWF,6
RDMC 202, 09:10 am, 10:00 am, MWF,40
RDMC 202, 06:00 pm, 08:00 pm, M,40
RDMC 202, 07:00 pm, 09:00 pm, R,40
ETB 1020, 04:10 pm, 05:00 pm, MWF,74
RDMC 202, 10:20 am, 11:10 am, MWF,60
RDMC 202, 06:00 pm, 08:00 pm, M,60
RDMC 202, 07:00 pm, 09:00 pm, R,60
CHEN 104, 11:30 am, 12:20 pm, MWF,66
RDMC 202, 11:10 am, 12:25 pm, TR,55
HRBB 131, 12:40 pm, 01:30 pm, MWF,60
CHEN 104, 03:55 pm, 05:10 pm, TR,66
HRBB 204, 04:10 pm, 05:25 pm, MW,40
HRBB 204, 03:55 pm, 05:10 pm, TR,40
HRBB 204, 10:20 am, 11:10 am, MWF,40
HRBB 204, 12:40 pm, 01:30 pm, MW,40
HRBB 105, 04:10 pm, 05:25 pm, MW,40
HRBB 105, 03:55 pm, 05:10 pm, TR,40
HRBB 204, 12:40 pm, 01:30 pm, MWF,40
HRBB 204, 10:20 am, 11:10 am, MW,40
ETB 1020, 11:10 am, 12:25 pm, TR,80
HRBB 131, 05:30 pm, 06:45 pm, TR,44
HRBB 131, 11:30 am, 12:20 pm, MWF,56
ETB 1020, 12:45 pm, 02:00 pm, TR,4
ETB 1020, 12:45 pm, 02:00 pm, TR,68
CSA 303, 09:10 am, 10:00 am, MWF,40
HRBB 131, 09:35 am, 10:50 am, TR,60
HRBB 105, 03:00 pm, 03:50 pm, MWF,25
HRBB 131, 08:00 am, 09:15 am, TR,56
RDMC 202, 01:50 pm, 02:40 pm, MWF,25
HRBB 131, 08:00 am, 08:50 am, MWF,35
HRBB 105, 11:30 am, 12:20 pm, MWF,25
RDMC 202, 03:00 pm, 03:50 pm, MWF,30
RDMC 202, 01:50 pm, 02:40 pm, MWF,10
HRBB 105, 09:35 am, 10:50 am, TR,40
HRBB 204, 11:30 am, 12:20 pm, MWF,20
HRBB 131, 08:00 am, 08:50 am, MWF,40
HRBB 105, 06:00 pm, 08:30 pm, T,40
HRBB 105, 11:10 am, 12:25 pm, TR,40
HRBB 204, 08:00 am, 09:15 am, TR,40
HRBB 105, 03:00 pm, 03:50 pm, MWF,10
HRBB 131, 03:55 pm, 05:10 pm, TR,22
RDMC 202, 03:55 pm, 05:10 pm, TR,48
RDMC 202, 03:00 pm, 03:50 pm, MWF,10
MILS 213, 08:00 am, 08:50 am, M,30
MILS 213, 09:10 am, 10:00 am, M,30
MILS 213, 10:20 am, 11:10 am, M,30
